,0
passaportafogl,1
paol,853
diment,5
portafogl,6
su,59
tax,1
tassist,1
lo,89
riport,3
in,540
azi,153
posizion,4
scomod,1
silv,285
riman,10
con,293
man,16
incastr,9
nell,34
macchinett,30
del,178
caff,56
sfid,35
luc,789
si,322
a,720
bracc,4
di,1358
ferr,3
per,537
stabil,1
chi,43
due,42
andrà,1
vacanz,11
gai,80
incontr,20
box,4
iscritt,3
torne,6
dev,82
andre,64
vend,33
dipendent,103
tem,10
che,420
laz,35
poss,10
esser,83
fatt,36
cronac,1
digitex,37
è,248
vittim,11
killer,2
divert,9
ad,76
avvelen,1
grand,18
uffic,78
ha,192
nuov,93
molt,31
più,53
rub,40
de,163
marinis,162
patt,254
fa,87
bell,17
vorrebb,2
affid,16
alla,83
chirurg,3
estet,2
quiz,5
radiofon,4
stat,38
selezion,5
graz,11
al,110
qual,38
potrebb,6
vinc,17
1,1
000,1
eur,5
esam,1
urin,4
sottoporr,1
allesam,1
camion,2
brutt,16
discussion,4
licenz,36
vorrebber,1
dar,12
dimission,5
paranoi,3
gir,19
voc,11
qualcun,20
sti,10
pidocc,2
cos,35
fai,3
staser,1
discut,14
impegn,6
seral,1
port,65
lincident,2
tampon,3
macchin,26
lalf,6
rome,12
non,208
sap,14
ilar,78
look,5
vuol,99
camb,15
pension,11
dinvalid,2
mal,20
convinc,46
gonf,1
legger,1
problem,25
prend,50
gest,14
fatal,3
cerc,127
interpret,3
colleg,116
pes,2
anna,76
alex,129
parl,17
pront,3
soccors,5
sent,14
appen,13
promess,4
rapport,8
sarebber,1
riallacc,1
salv,8
reinser,1
arriv,47
excarcer,1
ci,12
son,35
affezion,1
fin,35
accorg,13
pedal,1
venditor,12
dell,144
gar,14
ciclism,1
allarm,5
antincend,1
rimang,2
blocc,7
durant,11
incend,2
cred,102
sia,49
unesercit,1
urna,1
unurn,1
funerar,1
poes,4
costrett,21
assist,3
allo,3
spettacol,2
teatral,1
mazzett,1
mughett,2
combatt,3
monopol,2
sul,18
psicofarmac,3
assum,11
tropp,12
preoccup,6
lei,39
amiciz,7
donn,33
puliz,10
